METERHEAD,R_MF_9A_6P,R_MF_6P_10,R_SA_9A_6P,R_SA_6P_10,R_SU_9A_6P,R_SU_6P_10,RATE_MISC,TIMEINEFFE,T_MF_9A_6P,T_MF_6P_10,T_SA_9A_6P,T_SA_6P_10,T_SU_9A_6P,T_SU_6P_10,TIME_MISC,CREDITCARD,PAY_PHONE,Geom,Geo Local Area,METERID,geo_point_2d
Twin Bay Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,Yes,56405,"{""coordinates"": [-123.1012632537739, 49.25366041656861], ""type"": ""Point""}",Riley Park,C90130,"49.25366041656861, -123.1012632537739"
Twin Bay Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,Yes,56333,"{""coordinates"": [-123.10128574333798, 49.25275753742317], ""type"": ""Point""}",Riley Park,E00129,"49.25275753742317, -123.10128574333798"
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,13 Hrs,No,57173,"{""coordinates"": [-123.14553959341485, 49.2666140153155], ""type"": ""Point""}",Fairview,642114,"49.2666140153155, -123.14553959341485"
Twin Bay Single,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,Yes,50902,"{""coordinates"": [-123.1095659489185, 49.26591599580268], ""type"": ""Point""}",Mount Pleasant,522117,"49.26591599580268, -123.1095659489185"
Twin,$6.00,$1.00,$6.00,$1.00,$6.00,$1.00,$2.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,No,51864,"{""coordinates"": [-123.15220419459345, 49.26803657396291], ""type"": ""Point""}",Kitsilano,B42036,"49.26803657396291, -123.15220419459345"
Single Motorbike,$1.00,$0.50,$1.00,$0.50,$1.00,$0.50,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,13 Hrs,No,57100,"{""coordinates"": [-123.10282500356611, 49.26385535446587], ""type"": ""Point""}",Mount Pleasant,742398,"49.26385535446587, -123.10282500356611"
Twin Bay Single,$5.00,$1.00,$5.00,$1.00,$5.00,$1.00,$3.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,66229,"{""coordinates"": [-123.12268810851592, 49.280858761227115], ""type"": ""Point""}",Downtown,620901,"49.280858761227115, -123.12268810851592"
Twin Bay Single,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,57102,"{""coordinates"": [-123.10475972755845, 49.264021260113005], ""type"": ""Point""}",Mount Pleasant,752316,"49.264021260113005, -123.10475972755845"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,59944,"{""coordinates"": [-123.10456804661636, 49.26884901446297], ""type"": ""Point""}",Mount Pleasant,751804,"49.26884901446297, -123.10456804661636"
Single Motorbike,$2.00,$3.00,$2.00,$3.00,$2.00,$3.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,,,,,,,13 Hrs,No,50057,"{""coordinates"": [-123.10255470502445, 49.263671840640875], ""type"": ""Point""}",Mount Pleasant,A80196,"49.263671840640875, -123.10255470502445"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,50039,"{""coordinates"": [-123.10993994705002, 49.2683240155647], ""type"": ""Point""}",Mount Pleasant,B30214,"49.2683240155647, -123.10993994705002"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,56412,"{""coordinates"": [-123.10473599634425, 49.26890103449183], ""type"": ""Point""}",Mount Pleasant,751805,"49.26890103449183, -123.10473599634425"
